floor,cluster_id,cluster_type,input_rows,ransac_rows_used,ransac_warning,max_score,peak_index,peak_lat,peak_lon,peak_value,participating_cells,sum_w,sum_w_d2,weighted_sigma_m,alpha,raw_alpha_sigma_radius_m,grid_resolution_m,pre_merge_radius_m,max_participating_distance_m,min_participating_w,max_participating_w,merged_region_count,merged_regions_json
0.9,53,dynamic,86,70,RANSAC removed 16 outlier samples from cluster,67.0522601329229,2,31.249691494232273,34.805768024002994,0.9827932665666634,286,269.3221080324443,306503.26930619293,33.735065139544275,2.0,67.47013027908855,2.0,67.47,53.51918135054466,0.9000787197988868,1.0,1,"[{""center_lat"":31.249682458243335,""center_lon"":34.80607691730165,""radius_m"":102.24920039033653}]"
0.9,53,dynamic,86,70,RANSAC removed 16 outlier samples from cluster,67.0522601329229,3,31.24960113434288,34.806165920455506,0.9445172070554964,286,269.3221080324443,236540.57847254796,29.635811565506383,2.0,59.27162313101277,2.0,59.272,50.003584261493415,0.9000787197988868,1.0,1,"[{""center_lat"":31.249682458243335,""center_lon"":34.80607691730165,""radius_m"":102.24920039033653}]"
0.9,54,dynamic,75,63,RANSAC removed 12 outlier samples from cluster,59.807632662184716,1,31.249781854121668,34.80622874621116,1.0,313,296.4776703319468,311649.9402192251,32.42183037226303,2.0,64.84366074452606,2.0,64.844,52.380772162278504,0.9007883257863603,1.0,1,"[{""center_lat"":31.24970956621015,""center_lon"":34.806008856066356,""radius_m"":88.29643035643475}]"
0.9,54,dynamic,75,63,RANSAC removed 12 outlier samples from cluster,59.807632662184716,2,31.249637278298636,34.80578896592155,0.9922512246505111,313,296.4776703319468,321892.9673625893,32.95032856469145,2.0,65.9006571293829,2.0,65.901,53.74027001116547,0.9007883257863603,1.0,1,"[{""center_lat"":31.24970956621015,""center_lon"":34.806008856066356,""radius_m"":88.29643035643475}]"
0.9,58,dynamic,6,6,,5.948587542730832,1,31.249781854121668,34.806605700745116,1.0,138,129.99209334184073,63258.927726525195,22.059844374377356,2.0,44.11968874875471,2.0,44.12,36.907678097054784,0.9000103835650498,1.0,1,"[{""center_lat"":31.249949019917047,""center_lon"":34.80651669759126,""radius_m"":74.05265727407733}]"
0.9,58,dynamic,6,6,,5.948587542730832,2,31.24987221401106,34.80633345580393,0.9941526975869657,138,129.99209334184073,64622.317826784536,22.29629986966208,2.0,44.59259973932416,2.0,44.593,36.33760534143175,0.9000103835650498,1.0,1,"[{""center_lat"":31.249949019917047,""center_lon"":34.80651669759126,""radius_m"":74.05265727407733}]"
0.9,58,dynamic,6,6,,5.948587542730832,3,31.250071005767726,34.80656381690801,0.8778891447937576,138,129.99209334184073,116088.96394413422,29.883881036735787,2.0,59.76776207347157,2.0,59.768,38.38777381562929,0.9000103835650498,1.0,1,"[{""center_lat"":31.249949019917047,""center_lon"":34.80651669759126,""radius_m"":74.05265727407733}]"
0.9,59,dynamic,3,3,RANSAC found no valid inlier set for cluster; using all 3 samples,2.991538602245254,1,31.24999871785621,34.805956501269975,1.0,94,88.83989057278085,25814.642497178247,17.046257712571293,2.0,34.09251542514259,2.0,34.093,28.898720891112387,0.9034679554383536,1.0,1,"[{""center_lat"":31.250016789834092,""center_lon"":34.806213039772246,""radius_m"":115.48560387057277}]"
0.9,59,dynamic,3,3,RANSAC found no valid inlier set for cluster; using all 3 samples,2.991538602245254,2,31.250179437634998,34.80606121086274,0.9987982531600799,94,88.83989057278085,25540.335369955377,16.955448823596587,2.0,33.910897647193174,2.0,33.911,28.724909948361667,0.9034679554383536,1.0,1,"[{""center_lat"":31.250016789834092,""center_lon"":34.806213039772246,""radius_m"":115.48560387057277}]"
0.9,59,dynamic,3,3,RANSAC found no valid inlier set for cluster; using all 3 samples,2.991538602245254,3,31.249944501922574,34.80641722347814,0.6892495824538812,94,88.83989057278085,198245.3391855317,47.23865083276515,2.0,94.4773016655303,2.0,94.477,54.828901719160946,0.9034679554383536,1.0,1,"[{""center_lat"":31.250016789834092,""center_lon"":34.806213039772246,""radius_m"":115.48560387057277}]"
